x
Steven Spielberg
Woody Allen
Clint Eastwood
Martin Scorsese
Ridley Scott
Spike Lee
Steven Soderbergh
Tim Burton
Renny Harlin
Oliver Stone
Barry Levinson
Joel Schumacher
John Carpenter
Michael Bay
Robert Rodriguez
Robert Zemeckis
Ron Howard
Sam Raimi
Brian De Palma
Peter Jackson
Richard Donner
Shawn Levy
Tony Scott
Wes Craven
Chris Columbus
Francis Ford Coppola
Kevin Smith
Richard Linklater
Rob Cohen
Rob Reiner
Bobby Farrelly
Brett Ratner
David Fincher
John McTiernan
Paul W.S. Anderson
Stephen Frears
Danny Boyle
Dennis Dugan
George A. Romero
Kenneth Branagh
Lasse Hallström
Martin Campbell
M. Night Shyamalan
Phillip Noyce
Tyler Perry
Adam Shankman
Alfred Hitchcock
Ang Lee
Antoine Fuqua
Christopher Nolan
David Gordon Green
David O. Russell
Donald Petrie
Edward Zwick
F. Gary Gray
Frank Coraci
Frank Oz
Garry Marshall
George Miller
Guy Ritchie
Harold Ramis
Ivan Reitman
James Mangold
Jay Roach
Joe Wright
Marc Forster
Neil Jordan
Quentin Tarantino
Sam Mendes
Simon West
Stephen Herek
Yimou Zhang
Barry Sonnenfeld
Bryan Singer
Cameron Crowe
Catherine Hardwicke
David Cronenberg
Doug Liman
Gore Verbinski
Gus Van Sant
James Cameron
James Ivory
Jaume Collet-Serra
Joe Dante
John Singleton
Jon Turteltaub
Louis Leterrier
Malcolm D. Lee
Mel Brooks
Michael Winterbottom
Mike Newell
Paul McGuigan
Paul Schrader
Peter Segal
Roger Donaldson
Roland Emmerich
Stanley Kubrick
Terry Gilliam
Tobe Hooper
Todd Phillips
Tom Shadyac
Wes Anderson
William Friedkin
Wolfgang Petersen
Zack Snyder
Adam McKay
Alejandro G. Iñárritu
Andy Fickman
Andy Tennant
Atom Egoyan
Bill Condon
Brian Levant
Brian Robbins
Curtis Hanson
Darren Aronofsky
David Ayer
David R. Ellis
Ethan Coen
Gary Fleder
James Wan
Jason Reitman
John Woo
Jonathan Liebesman
Lana Wachowski
Mark Waters
McG
Michael Apted
Michael Mann
Michael Moore
Mike Nichols
Paul Greengrass
Paul Thomas Anderson
Paul Verhoeven
Paul Weitz
Peter Berg
Peter Hyams
Raja Gosnell
Robert Luketic
Roman Polanski
Sidney Lumet
Taylor Hackford
Tim Story
Alexander Payne
Andrew Adamson
Andrew Niccol
Andrzej Bartkowiak
Anne Fletcher
Baz Luhrmann
Brad Anderson
Brad Bird
Brian Helgeland
Chris Weitz
Chuck Russell
David Koepp
David Lynch
David Zucker
D.J. Caruso
Eric Darnell
Francis Lawrence
Frank Capra
Fred Zinnemann
Gary Winick
George Clooney
George Lucas
Guillermo del Toro
Guy Hamilton
Harold Becker
Jan de Bont
Jean-Pierre Jeunet
John Frankenheimer
John Glen
John Landis
John Lasseter
John Lee Hancock
John Madden
John Whitesell
Jonathan Demme
Jon Favreau
Judd Apatow
Kenny Ortega
Kevin Reynolds
Larry Charles
Lawrence Kasdan
Lee Tamahori
Les Mayfield
Luc Besson
Mark Neveldine
Michael Polish
Miguel Arteta
Mike Leigh
Mira Nair
Nancy Meyers
Neil Burger
Nicole Holofcener
Norman Jewison
Peter Chelsom
Richard Fleischer
Richard LaGravenese
Richard Lester
Robert Redford
Robert Schwentke
Rob Marshall
Rob Minkoff
Rob Zombie
Rod Lurie
Scott Derrickson
Scott Hicks
Stephen Daldry
Stephen Hopkins
Steve Miner
Sydney Pollack
Tim Hill
Tom Tykwer
Uwe Boll
Wayne Wang
Adrian Lyne
Albert Hughes
Alejandro Amenábar
Alexandre Aja
Alex Kendrick
Alex Proyas
Alfonso Cuarón
Amy Heckerling
Andrew Davis
Andrew Fleming
Angelina Jolie Pitt
Ben Stiller
Betty Thomas
Billy Wilder
Bob Clark
Brad Silberling
Carlos Saldanha
Christopher Guest
Christopher McQuarrie
Darren Lynn Bousman
David Bowers
David Dobkin
David Frankel
David Lean
David Twohy
David Wain
Dean Parisot
Dennie Gordon
Edgar Wright
Edward Burns
Frank Darabont
Frank Marshall
Gabriele Muccino
Gavin Hood
Gavin O'Connor
George Tillman Jr.
Hayao Miyazaki
Hugh Wilson
Iain Softley
Irwin Winkler
Jake Kasdan
James Gray
James McTeigue
James Wong
Jason Friedberg
Jaume Balagueró
Jay Chandrasekhar
Jay Duplass
Jean-Jacques Annaud
Jeff Nichols
Jeff Tremaine
Jim Sheridan
J.J. Abrams
Joe Johnston
Joel Coen
John Dahl
John Erick Dowdle
John Ford
John Milius
John Moore
John Sayles
Jon Amiel
Jonathan Frakes
Jonathan Levine
Jonathan Lynn
Jonathan Mostow
Jon M. Chu
Joss Whedon
Julie Taymor
Keenen Ivory Wayans
Ken Kwapis
Kimberly Peirce
Kirk Jones
Luke Greenfield
Mark L. Lester
Martin Brest
Matthew Vaughn
Matt Reeves
Michael Caton-Jones
Michel Gondry
Mikael Håfström
Mike Judge
Mike Mitchell
Nicholas Stoller
Nick Cassavetes
Oliver Parker
Patrick Lussier
Paul Haggis
Penny Marshall
Peter Cattaneo
Peter Hewitt
Peter Howitt
Peter Weir
Peyton Reed
Phil Lord
Pierre Morel
Randall Wallace
Richard Attenborough
Richard Brooks
Rick Famuyiwa
Rob Bowman
Rob Letterman
Roger Spottiswoode
Roland Joffé
Ronny Yu
Ron Shelton
Russell Mulcahy
Sam Peckinpah
Sam Weisman
Sean Anders
Sergio Leone
Shane Meadows
Simon Wincer
Sofia Coppola
Spike Jonze
Stephen Sommers
Steve Carr
Steven Brill
Steve Oedekerk
Tarsem Singh
Terrence Malick
Tim Johnson
Vincenzo Natali
Walter Hill
